backend,V,nlev,N_e,cell_dist,config_label,run_label,run_id,time_ms
gpu,1,256,163840,uniform,V1_bx1024,run31,31,0.010112
gpu,1,256,163840,uniform,V1_bx1024,run32,32,0.010048
gpu,1,256,163840,uniform,V1_bx1024,run33,33,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run34,34,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run35,35,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run36,36,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run37,37,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run38,38,0.011552
gpu,1,256,163840,uniform,V1_bx1024,run39,39,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run40,40,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run41,41,0.010272
gpu,1,256,163840,uniform,V1_bx1024,run42,42,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run43,43,0.010752
gpu,1,256,163840,uniform,V1_bx1024,run44,44,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run45,45,0.010080
gpu,1,256,163840,uniform,V1_bx1024,run46,46,0.010560
gpu,1,256,163840,uniform,V1_bx1024,run47,47,0.011488
gpu,1,256,163840,uniform,V1_bx1024,run48,48,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run49,49,0.010240
gpu,1,256,163840,uniform,V1_bx1024,run50,50,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run51,51,0.010464
gpu,1,256,163840,uniform,V1_bx1024,run52,52,0.010240
gpu,1,256,163840,uniform,V1_bx1024,run53,53,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run54,54,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run55,55,0.010048
gpu,1,256,163840,uniform,V1_bx1024,run56,56,0.010272
gpu,1,256,163840,uniform,V1_bx1024,run57,57,0.010592
gpu,1,256,163840,uniform,V1_bx1024,run58,58,0.010688
gpu,1,256,163840,uniform,V1_bx1024,run59,59,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run60,60,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run61,61,0.010112
gpu,1,256,163840,uniform,V1_bx1024,run62,62,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run63,63,0.010368
gpu,1,256,163840,uniform,V1_bx1024,run64,64,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run65,65,0.010624
gpu,1,256,163840,uniform,V1_bx1024,run66,66,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run67,67,0.010368
gpu,1,256,163840,uniform,V1_bx1024,run68,68,0.010080
gpu,1,256,163840,uniform,V1_bx1024,run69,69,0.011424
gpu,1,256,163840,uniform,V1_bx1024,run70,70,0.010112
gpu,1,256,163840,uniform,V1_bx1024,run71,71,0.010144
gpu,1,256,163840,uniform,V1_bx1024,run72,72,0.010368
gpu,1,256,163840,uniform,V1_bx1024,run73,73,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run74,74,0.010464
gpu,1,256,163840,uniform,V1_bx1024,run75,75,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run76,76,0.010336
gpu,1,256,163840,uniform,V1_bx1024,run77,77,0.010112
gpu,1,256,163840,uniform,V1_bx1024,run78,78,0.010784
gpu,1,256,163840,uniform,V1_bx1024,run79,79,0.010400
gpu,1,256,163840,uniform,V1_bx1024,run80,80,0.010432
gpu,1,256,163840,uniform,V1_bx1024,run81,81,0.010176
gpu,1,256,163840,uniform,V1_bx1024,run82,82,0.010272
gpu,1,256,163840,uniform,V1_bx1024,run83,83,0.010272
gpu,1,256,163840,uniform,V1_bx1024,run84,84,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run85,85,0.010240
gpu,1,256,163840,uniform,V1_bx1024,run86,86,0.010176
gpu,1,256,163840,uniform,V1_bx1024,run87,87,0.010272
gpu,1,256,163840,uniform,V1_bx1024,run88,88,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run89,89,0.010464
gpu,1,256,163840,uniform,V1_bx1024,run90,90,0.010368
gpu,1,256,163840,uniform,V1_bx1024,run91,91,0.010336
gpu,1,256,163840,uniform,V1_bx1024,run92,92,0.010432
gpu,1,256,163840,uniform,V1_bx1024,run93,93,0.010336
gpu,1,256,163840,uniform,V1_bx1024,run94,94,0.010592
gpu,1,256,163840,uniform,V1_bx1024,run95,95,0.010176
gpu,1,256,163840,uniform,V1_bx1024,run96,96,0.010368
gpu,1,256,163840,uniform,V1_bx1024,run97,97,0.010304
gpu,1,256,163840,uniform,V1_bx1024,run98,98,0.010208
gpu,1,256,163840,uniform,V1_bx1024,run99,99,0.010112
gpu,2,256,163840,uniform,V2_bx64,run0,0,0.009984
gpu,2,256,163840,uniform,V2_bx64,run1,1,0.010112
gpu,2,256,163840,uniform,V2_bx64,run2,2,0.010112
gpu,2,256,163840,uniform,V2_bx64,run3,3,0.010048
gpu,2,256,163840,uniform,V2_bx64,run4,4,0.010336
gpu,2,256,163840,uniform,V2_bx64,run5,5,0.010144
gpu,2,256,163840,uniform,V2_bx64,run6,6,0.010112
gpu,2,256,163840,uniform,V2_bx64,run7,7,0.010176
gpu,2,256,163840,uniform,V2_bx64,run8,8,0.010144
gpu,2,256,163840,uniform,V2_bx64,run9,9,0.010080
gpu,2,256,163840,uniform,V2_bx64,run10,10,0.010528
gpu,2,256,163840,uniform,V2_bx64,run11,11,0.010048
gpu,2,256,163840,uniform,V2_bx64,run12,12,0.010144
gpu,2,256,163840,uniform,V2_bx64,run13,13,0.010112
gpu,2,256,163840,uniform,V2_bx64,run14,14,0.009984
gpu,2,256,163840,uniform,V2_bx64,run15,15,0.010208
gpu,2,256,163840,uniform,V2_bx64,run16,16,0.009984
gpu,2,256,163840,uniform,V2_bx64,run17,17,0.010496
gpu,2,256,163840,uniform,V2_bx64,run18,18,0.010016
gpu,2,256,163840,uniform,V2_bx64,run19,19,0.010208
gpu,2,256,163840,uniform,V2_bx64,run20,20,0.010208
gpu,2,256,163840,uniform,V2_bx64,run21,21,0.010240
gpu,2,256,163840,uniform,V2_bx64,run22,22,0.010048
gpu,2,256,163840,uniform,V2_bx64,run23,23,0.010048
gpu,2,256,163840,uniform,V2_bx64,run24,24,0.010080
gpu,2,256,163840,uniform,V2_bx64,run25,25,0.010080
gpu,2,256,163840,uniform,V2_bx64,run26,26,0.009984
gpu,2,256,163840,uniform,V2_bx64,run27,27,0.010208
gpu,2,256,163840,uniform,V2_bx64,run28,28,0.011520
gpu,2,256,163840,uniform,V2_bx64,run29,29,0.009984
gpu,2,256,163840,uniform,V2_bx64,run30,30,0.010016
gpu,2,256,163840,uniform,V2_bx64,run31,31,0.010144
gpu,2,256,163840,uniform,V2_bx64,run32,32,0.009984
gpu,2,256,163840,uniform,V2_bx64,run33,33,0.010112
gpu,2,256,163840,uniform,V2_bx64,run34,34,0.010112
gpu,2,256,163840,uniform,V2_bx64,run35,35,0.010112
gpu,2,256,163840,uniform,V2_bx64,run36,36,0.010080
gpu,2,256,163840,uniform,V2_bx64,run37,37,0.010208
gpu,2,256,163840,uniform,V2_bx64,run38,38,0.010080
gpu,2,256,163840,uniform,V2_bx64,run39,39,0.010176
gpu,2,256,163840,uniform,V2_bx64,run40,40,0.009888
gpu,2,256,163840,uniform,V2_bx64,run41,41,0.010048
gpu,2,256,163840,uniform,V2_bx64,run42,42,0.010272
gpu,2,256,163840,uniform,V2_bx64,run43,43,0.010464
gpu,2,256,163840,uniform,V2_bx64,run44,44,0.010112
gpu,2,256,163840,uniform,V2_bx64,run45,45,0.009984
gpu,2,256,163840,uniform,V2_bx64,run46,46,0.010112
gpu,2,256,163840,uniform,V2_bx64,run47,47,0.010112
gpu,2,256,163840,uniform,V2_bx64,run48,48,0.009984
gpu,2,256,163840,uniform,V2_bx64,run49,49,0.010176
gpu,2,256,163840,uniform,V2_bx64,run50,50,0.010080
gpu,2,256,163840,uniform,V2_bx64,run51,51,0.010176
gpu,2,256,163840,uniform,V2_bx64,run52,52,0.010048
gpu,2,256,163840,uniform,V2_bx64,run53,53,0.010144
gpu,2,256,163840,uniform,V2_bx64,run54,54,0.010144
gpu,2,256,163840,uniform,V2_bx64,run55,55,0.011584
gpu,2,256,163840,uniform,V2_bx64,run56,56,0.010240
gpu,2,256,163840,uniform,V2_bx64,run57,57,0.010080
gpu,2,256,163840,uniform,V2_bx64,run58,58,0.010304
gpu,2,256,163840,uniform,V2_bx64,run59,59,0.010112
gpu,2,256,163840,uniform,V2_bx64,run60,60,0.009984
gpu,2,256,163840,uniform,V2_bx64,run61,61,0.010016
gpu,2,256,163840,uniform,V2_bx64,run62,62,0.010144
gpu,2,256,163840,uniform,V2_bx64,run63,63,0.010176
gpu,2,256,163840,uniform,V2_bx64,run64,64,0.009920
gpu,2,256,163840,uniform,V2_bx64,run65,65,0.010080
gpu,2,256,163840,uniform,V2_bx64,run66,66,0.010016
gpu,2,256,163840,uniform,V2_bx64,run67,67,0.010208
gpu,2,256,163840,uniform,V2_bx64,run68,68,0.010176
gpu,2,256,163840,uniform,V2_bx64,run69,69,0.010048
gpu,2,256,163840,uniform,V2_bx64,run70,70,0.010112
gpu,2,256,163840,uniform,V2_bx64,run71,71,0.009984
gpu,2,256,163840,uniform,V2_bx64,run72,72,0.011552
gpu,2,256,163840,uniform,V2_bx64,run73,73,0.010240
gpu,2,256,163840,uniform,V2_bx64,run74,74,0.011424
gpu,2,256,163840,uniform,V2_bx64,run75,75,0.010080
gpu,2,256,163840,uniform,V2_bx64,run76,76,0.011360
gpu,2,256,163840,uniform,V2_bx64,run77,77,0.010144
gpu,2,256,163840,uniform,V2_bx64,run78,78,0.010144
gpu,2,256,163840,uniform,V2_bx64,run79,79,0.010176
gpu,2,256,163840,uniform,V2_bx64,run80,80,0.010240
gpu,2,256,163840,uniform,V2_bx64,run81,81,0.009984
gpu,2,256,163840,uniform,V2_bx64,run82,82,0.010048
gpu,2,256,163840,uniform,V2_bx64,run83,83,0.010240
gpu,2,256,163840,uniform,V2_bx64,run84,84,0.010208
gpu,2,256,163840,uniform,V2_bx64,run85,85,0.010176
gpu,2,256,163840,uniform,V2_bx64,run86,86,0.010144
gpu,2,256,163840,uniform,V2_bx64,run87,87,0.010080
gpu,2,256,163840,uniform,V2_bx64,run88,88,0.010176
gpu,2,256,163840,uniform,V2_bx64,run89,89,0.010208
gpu,2,256,163840,uniform,V2_bx64,run90,90,0.010112
gpu,2,256,163840,uniform,V2_bx64,run91,91,0.010048
gpu,2,256,163840,uniform,V2_bx64,run92,92,0.010080
gpu,2,256,163840,uniform,V2_bx64,run93,93,0.010080
gpu,2,256,163840,uniform,V2_bx64,run94,94,0.010016
gpu,2,256,163840,uniform,V2_bx64,run95,95,0.010560
gpu,2,256,163840,uniform,V2_bx64,run96,96,0.010112
gpu,2,256,163840,uniform,V2_bx64,run97,97,0.010208
gpu,2,256,163840,uniform,V2_bx64,run98,98,0.010144
gpu,2,256,163840,uniform,V2_bx64,run99,99,0.009984
gpu,2,256,163840,uniform,V2_bx128,run0,0,0.010080
gpu,2,256,163840,uniform,V2_bx128,run1,1,0.010080
gpu,2,256,163840,uniform,V2_bx128,run2,2,0.010368
gpu,2,256,163840,uniform,V2_bx128,run3,3,0.010112
gpu,2,256,163840,uniform,V2_bx128,run4,4,0.010272
gpu,2,256,163840,uniform,V2_bx128,run5,5,0.010144
gpu,2,256,163840,uniform,V2_bx128,run6,6,0.010048
gpu,2,256,163840,uniform,V2_bx128,run7,7,0.010112
gpu,2,256,163840,uniform,V2_bx128,run8,8,0.010080
gpu,2,256,163840,uniform,V2_bx128,run9,9,0.010176
gpu,2,256,163840,uniform,V2_bx128,run10,10,0.009984
gpu,2,256,163840,uniform,V2_bx128,run11,11,0.010208
gpu,2,256,163840,uniform,V2_bx128,run12,12,0.010080
gpu,2,256,163840,uniform,V2_bx128,run13,13,0.009920
gpu,2,256,163840,uniform,V2_bx128,run14,14,0.011584
gpu,2,256,163840,uniform,V2_bx128,run15,15,0.010080
gpu,2,256,163840,uniform,V2_bx128,run16,16,0.010240
gpu,2,256,163840,uniform,V2_bx128,run17,17,0.010240
gpu,2,256,163840,uniform,V2_bx128,run18,18,0.010272
gpu,2,256,163840,uniform,V2_bx128,run19,19,0.010240
gpu,2,256,163840,uniform,V2_bx128,run20,20,0.009952
gpu,2,256,163840,uniform,V2_bx128,run21,21,0.010080
gpu,2,256,163840,uniform,V2_bx128,run22,22,0.010336
gpu,2,256,163840,uniform,V2_bx128,run23,23,0.010944
gpu,2,256,163840,uniform,V2_bx128,run24,24,0.010240
gpu,2,256,163840,uniform,V2_bx128,run25,25,0.010144
gpu,2,256,163840,uniform,V2_bx128,run26,26,0.010176
gpu,2,256,163840,uniform,V2_bx128,run27,27,0.010272
gpu,2,256,163840,uniform,V2_bx128,run28,28,0.009952
gpu,2,256,163840,uniform,V2_bx128,run29,29,0.009984
gpu,2,256,163840,uniform,V2_bx128,run30,30,0.010048
gpu,2,256,163840,uniform,V2_bx128,run31,31,0.010464
gpu,2,256,163840,uniform,V2_bx128,run32,32,0.011520
gpu,2,256,163840,uniform,V2_bx128,run33,33,0.010208
gpu,2,256,163840,uniform,V2_bx128,run34,34,0.010016
gpu,2,256,163840,uniform,V2_bx128,run35,35,0.010176
gpu,2,256,163840,uniform,V2_bx128,run36,36,0.010048
gpu,2,256,163840,uniform,V2_bx128,run37,37,0.010048
gpu,2,256,163840,uniform,V2_bx128,run38,38,0.010176
gpu,2,256,163840,uniform,V2_bx128,run39,39,0.010080
gpu,2,256,163840,uniform,V2_bx128,run40,40,0.010016
gpu,2,256,163840,uniform,V2_bx128,run41,41,0.011200
gpu,2,256,163840,uniform,V2_bx128,run42,42,0.010112
gpu,2,256,163840,uniform,V2_bx128,run43,43,0.009888
gpu,2,256,163840,uniform,V2_bx128,run44,44,0.010048
gpu,2,256,163840,uniform,V2_bx128,run45,45,0.010080
gpu,2,256,163840,uniform,V2_bx128,run46,46,0.010080
gpu,2,256,163840,uniform,V2_bx128,run47,47,0.010336
gpu,2,256,163840,uniform,V2_bx128,run48,48,0.011168
gpu,2,256,163840,uniform,V2_bx128,run49,49,0.009984
gpu,2,256,163840,uniform,V2_bx128,run50,50,0.010112
gpu,2,256,163840,uniform,V2_bx128,run51,51,0.010240
gpu,2,256,163840,uniform,V2_bx128,run52,52,0.010080
gpu,2,256,163840,uniform,V2_bx128,run53,53,0.010144
gpu,2,256,163840,uniform,V2_bx128,run54,54,0.010080
gpu,2,256,163840,uniform,V2_bx128,run55,55,0.009952
gpu,2,256,163840,uniform,V2_bx128,run56,56,0.010304
gpu,2,256,163840,uniform,V2_bx128,run57,57,0.011328
gpu,2,256,163840,uniform,V2_bx128,run58,58,0.010080
gpu,2,256,163840,uniform,V2_bx128,run59,59,0.010208
gpu,2,256,163840,uniform,V2_bx128,run60,60,0.010272
gpu,2,256,163840,uniform,V2_bx128,run61,61,0.010272
gpu,2,256,163840,uniform,V2_bx128,run62,62,0.010144
gpu,2,256,163840,uniform,V2_bx128,run63,63,0.010208
gpu,2,256,163840,uniform,V2_bx128,run64,64,0.010400
gpu,2,256,163840,uniform,V2_bx128,run65,65,0.009952
gpu,2,256,163840,uniform,V2_bx128,run66,66,0.010080
gpu,2,256,163840,uniform,V2_bx128,run67,67,0.010240
gpu,2,256,163840,uniform,V2_bx128,run68,68,0.009952
gpu,2,256,163840,uniform,V2_bx128,run69,69,0.010240
gpu,2,256,163840,uniform,V2_bx128,run70,70,0.010304
gpu,2,256,163840,uniform,V2_bx128,run71,71,0.010176
gpu,2,256,163840,uniform,V2_bx128,run72,72,0.010016
gpu,2,256,163840,uniform,V2_bx128,run73,73,0.010112
gpu,2,256,163840,uniform,V2_bx128,run74,74,0.010272
gpu,2,256,163840,uniform,V2_bx128,run75,75,0.010048
gpu,2,256,163840,uniform,V2_bx128,run76,76,0.010304
gpu,2,256,163840,uniform,V2_bx128,run77,77,0.010112
gpu,2,256,163840,uniform,V2_bx128,run78,78,0.010176
gpu,2,256,163840,uniform,V2_bx128,run79,79,0.010080
gpu,2,256,163840,uniform,V2_bx128,run80,80,0.010144
gpu,2,256,163840,uniform,V2_bx128,run81,81,0.010080
gpu,2,256,163840,uniform,V2_bx128,run82,82,0.010112
gpu,2,256,163840,uniform,V2_bx128,run83,83,0.010112
gpu,2,256,163840,uniform,V2_bx128,run84,84,0.010112
gpu,2,256,163840,uniform,V2_bx128,run85,85,0.010144
gpu,2,256,163840,uniform,V2_bx128,run86,86,0.010048
gpu,2,256,163840,uniform,V2_bx128,run87,87,0.010016
gpu,2,256,163840,uniform,V2_bx128,run88,88,0.010144
gpu,2,256,163840,uniform,V2_bx128,run89,89,0.011520
gpu,2,256,163840,uniform,V2_bx128,run90,90,0.009952
gpu,2,256,163840,uniform,V2_bx128,run91,91,0.011296
gpu,2,256,163840,uniform,V2_bx128,run92,92,0.010368
gpu,2,256,163840,uniform,V2_bx128,run93,93,0.010016
gpu,2,256,163840,uniform,V2_bx128,run94,94,0.010112
gpu,2,256,163840,uniform,V2_bx128,run95,95,0.010144
gpu,2,256,163840,uniform,V2_bx128,run96,96,0.010016
gpu,2,256,163840,uniform,V2_bx128,run97,97,0.010112
gpu,2,256,163840,uniform,V2_bx128,run98,98,0.010208
gpu,2,256,163840,uniform,V2_bx128,run99,99,0.010144
gpu,2,256,163840,uniform,V2_bx256,run0,0,0.009984
gpu,2,256,163840,uniform,V2_bx256,run1,1,0.010144
gpu,2,256,163840,uniform,V2_bx256,run2,2,0.010016
gpu,2,256,163840,uniform,V2_bx256,run3,3,0.010080
gpu,2,256,163840,uniform,V2_bx256,run4,4,0.010080
gpu,2,256,163840,uniform,V2_bx256,run5,5,0.010176
gpu,2,256,163840,uniform,V2_bx256,run6,6,0.010112
gpu,2,256,163840,uniform,V2_bx256,run7,7,0.009984
gpu,2,256,163840,uniform,V2_bx256,run8,8,0.011136
gpu,2,256,163840,uniform,V2_bx256,run9,9,0.010144
gpu,2,256,163840,uniform,V2_bx256,run10,10,0.011424
gpu,2,256,163840,uniform,V2_bx256,run11,11,0.010080
gpu,2,256,163840,uniform,V2_bx256,run12,12,0.010208
gpu,2,256,163840,uniform,V2_bx256,run13,13,0.010048
gpu,2,256,163840,uniform,V2_bx256,run14,14,0.010176
gpu,2,256,163840,uniform,V2_bx256,run15,15,0.010080
gpu,2,256,163840,uniform,V2_bx256,run16,16,0.010208
gpu,2,256,163840,uniform,V2_bx256,run17,17,0.009952
gpu,2,256,163840,uniform,V2_bx256,run18,18,0.010080
gpu,2,256,163840,uniform,V2_bx256,run19,19,0.010112
gpu,2,256,163840,uniform,V2_bx256,run20,20,0.010080
gpu,2,256,163840,uniform,V2_bx256,run21,21,0.011360
gpu,2,256,163840,uniform,V2_bx256,run22,22,0.010112
gpu,2,256,163840,uniform,V2_bx256,run23,23,0.010144
gpu,2,256,163840,uniform,V2_bx256,run24,24,0.010240
gpu,2,256,163840,uniform,V2_bx256,run25,25,0.010208
gpu,2,256,163840,uniform,V2_bx256,run26,26,0.010144
gpu,2,256,163840,uniform,V2_bx256,run27,27,0.010272
gpu,2,256,163840,uniform,V2_bx256,run28,28,0.009984
gpu,2,256,163840,uniform,V2_bx256,run29,29,0.010176
gpu,2,256,163840,uniform,V2_bx256,run30,30,0.009984
gpu,2,256,163840,uniform,V2_bx256,run31,31,0.010208
gpu,2,256,163840,uniform,V2_bx256,run32,32,0.010144
gpu,2,256,163840,uniform,V2_bx256,run33,33,0.010208
gpu,2,256,163840,uniform,V2_bx256,run34,34,0.010144
gpu,2,256,163840,uniform,V2_bx256,run35,35,0.010048
gpu,2,256,163840,uniform,V2_bx256,run36,36,0.010144
gpu,2,256,163840,uniform,V2_bx256,run37,37,0.009920
gpu,2,256,163840,uniform,V2_bx256,run38,38,0.010112
gpu,2,256,163840,uniform,V2_bx256,run39,39,0.010016
gpu,2,256,163840,uniform,V2_bx256,run40,40,0.010112
gpu,2,256,163840,uniform,V2_bx256,run41,41,0.009952
gpu,2,256,163840,uniform,V2_bx256,run42,42,0.010016
gpu,2,256,163840,uniform,V2_bx256,run43,43,0.010048
gpu,2,256,163840,uniform,V2_bx256,run44,44,0.010080
gpu,2,256,163840,uniform,V2_bx256,run45,45,0.010208
gpu,2,256,163840,uniform,V2_bx256,run46,46,0.010112
gpu,2,256,163840,uniform,V2_bx256,run47,47,0.010080
gpu,2,256,163840,uniform,V2_bx256,run48,48,0.010144
gpu,2,256,163840,uniform,V2_bx256,run49,49,0.009984
gpu,2,256,163840,uniform,V2_bx256,run50,50,0.011488
gpu,2,256,163840,uniform,V2_bx256,run51,51,0.010080
gpu,2,256,163840,uniform,V2_bx256,run52,52,0.009984
gpu,2,256,163840,uniform,V2_bx256,run53,53,0.010048
gpu,2,256,163840,uniform,V2_bx256,run54,54,0.010016
gpu,2,256,163840,uniform,V2_bx256,run55,55,0.009952
gpu,2,256,163840,uniform,V2_bx256,run56,56,0.010080
gpu,2,256,163840,uniform,V2_bx256,run57,57,0.010048
gpu,2,256,163840,uniform,V2_bx256,run58,58,0.010144
gpu,2,256,163840,uniform,V2_bx256,run59,59,0.010080
gpu,2,256,163840,uniform,V2_bx256,run60,60,0.010080
gpu,2,256,163840,uniform,V2_bx256,run61,61,0.011264
gpu,2,256,163840,uniform,V2_bx256,run62,62,0.010016
gpu,2,256,163840,uniform,V2_bx256,run63,63,0.010112
gpu,2,256,163840,uniform,V2_bx256,run64,64,0.010240
gpu,2,256,163840,uniform,V2_bx256,run65,65,0.010080
gpu,2,256,163840,uniform,V2_bx256,run66,66,0.010176
gpu,2,256,163840,uniform,V2_bx256,run67,67,0.010080
gpu,2,256,163840,uniform,V2_bx256,run68,68,0.010144
gpu,2,256,163840,uniform,V2_bx256,run69,69,0.010240
gpu,2,256,163840,uniform,V2_bx256,run70,70,0.010144
gpu,2,256,163840,uniform,V2_bx256,run71,71,0.010176
gpu,2,256,163840,uniform,V2_bx256,run72,72,0.010048
gpu,2,256,163840,uniform,V2_bx256,run73,73,0.010048
gpu,2,256,163840,uniform,V2_bx256,run74,74,0.010080
gpu,2,256,163840,uniform,V2_bx256,run75,75,0.009984
gpu,2,256,163840,uniform,V2_bx256,run76,76,0.010240
gpu,2,256,163840,uniform,V2_bx256,run77,77,0.010240
gpu,2,256,163840,uniform,V2_bx256,run78,78,0.010080
gpu,2,256,163840,uniform,V2_bx256,run79,79,0.010080
gpu,2,256,163840,uniform,V2_bx256,run80,80,0.010272
gpu,2,256,163840,uniform,V2_bx256,run81,81,0.010112
gpu,2,256,163840,uniform,V2_bx256,run82,82,0.010112
gpu,2,256,163840,uniform,V2_bx256,run83,83,0.010080
gpu,2,256,163840,uniform,V2_bx256,run84,84,0.010208
gpu,2,256,163840,uniform,V2_bx256,run85,85,0.009856
gpu,2,256,163840,uniform,V2_bx256,run86,86,0.011168
gpu,2,256,163840,uniform,V2_bx256,run87,87,0.010016
gpu,2,256,163840,uniform,V2_bx256,run88,88,0.010144
gpu,2,256,163840,uniform,V2_bx256,run89,89,0.010368
gpu,2,256,163840,uniform,V2_bx256,run90,90,0.010048
gpu,2,256,163840,uniform,V2_bx256,run91,91,0.010112
gpu,2,256,163840,uniform,V2_bx256,run92,92,0.010272
gpu,2,256,163840,uniform,V2_bx256,run93,93,0.010112
gpu,2,256,163840,uniform,V2_bx256,run94,94,0.010048
gpu,2,256,163840,uniform,V2_bx256,run95,95,0.010048
gpu,2,256,163840,uniform,V2_bx256,run96,96,0.010144
gpu,2,256,163840,uniform,V2_bx256,run97,97,0.010048
gpu,2,256,163840,uniform,V2_bx256,run98,98,0.010240
gpu,2,256,163840,uniform,V2_bx256,run99,99,0.010432
gpu,2,256,163840,uniform,V2_bx512,run0,0,0.010208
gpu,2,256,163840,uniform,V2_bx512,run1,1,0.009984
gpu,2,256,163840,uniform,V2_bx512,run2,2,0.010208
gpu,2,256,163840,uniform,V2_bx512,run3,3,0.010272
gpu,2,256,163840,uniform,V2_bx512,run4,4,0.010048
gpu,2,256,163840,uniform,V2_bx512,run5,5,0.010208
gpu,2,256,163840,uniform,V2_bx512,run6,6,0.010240
gpu,2,256,163840,uniform,V2_bx512,run7,7,0.011040
gpu,2,256,163840,uniform,V2_bx512,run8,8,0.010208
gpu,2,256,163840,uniform,V2_bx512,run9,9,0.010304
gpu,2,256,163840,uniform,V2_bx512,run10,10,0.010272
gpu,2,256,163840,uniform,V2_bx512,run11,11,0.010048
gpu,2,256,163840,uniform,V2_bx512,run12,12,0.010176
gpu,2,256,163840,uniform,V2_bx512,run13,13,0.010208
gpu,2,256,163840,uniform,V2_bx512,run14,14,0.010144
gpu,2,256,163840,uniform,V2_bx512,run15,15,0.010048
gpu,2,256,163840,uniform,V2_bx512,run16,16,0.010176
gpu,2,256,163840,uniform,V2_bx512,run17,17,0.010080
gpu,2,256,163840,uniform,V2_bx512,run18,18,0.011424
gpu,2,256,163840,uniform,V2_bx512,run19,19,0.010080
gpu,2,256,163840,uniform,V2_bx512,run20,20,0.010080
gpu,2,256,163840,uniform,V2_bx512,run21,21,0.010848
gpu,2,256,163840,uniform,V2_bx512,run22,22,0.010208
gpu,2,256,163840,uniform,V2_bx512,run23,23,0.009920
gpu,2,256,163840,uniform,V2_bx512,run24,24,0.010144
gpu,2,256,163840,uniform,V2_bx512,run25,25,0.010016
gpu,2,256,163840,uniform,V2_bx512,run26,26,0.010112
gpu,2,256,163840,uniform,V2_bx512,run27,27,0.009920
gpu,2,256,163840,uniform,V2_bx512,run28,28,0.009984
gpu,2,256,163840,uniform,V2_bx512,run29,29,0.009920
gpu,2,256,163840,uniform,V2_bx512,run30,30,0.010112
gpu,2,256,163840,uniform,V2_bx512,run31,31,0.010048
gpu,2,256,163840,uniform,V2_bx512,run32,32,0.010528
gpu,2,256,163840,uniform,V2_bx512,run33,33,0.010112
gpu,2,256,163840,uniform,V2_bx512,run34,34,0.010240
gpu,2,256,163840,uniform,V2_bx512,run35,35,0.010144
gpu,2,256,163840,uniform,V2_bx512,run36,36,0.010112
gpu,2,256,163840,uniform,V2_bx512,run37,37,0.009984
gpu,2,256,163840,uniform,V2_bx512,run38,38,0.009984
gpu,2,256,163840,uniform,V2_bx512,run39,39,0.010048
gpu,2,256,163840,uniform,V2_bx512,run40,40,0.010048
gpu,2,256,163840,uniform,V2_bx512,run41,41,0.011104
gpu,2,256,163840,uniform,V2_bx512,run42,42,0.010080
gpu,2,256,163840,uniform,V2_bx512,run43,43,0.009888
gpu,2,256,163840,uniform,V2_bx512,run44,44,0.010112
gpu,2,256,163840,uniform,V2_bx512,run45,45,0.009920
gpu,2,256,163840,uniform,V2_bx512,run46,46,0.010112
gpu,2,256,163840,uniform,V2_bx512,run47,47,0.010112
gpu,2,256,163840,uniform,V2_bx512,run48,48,0.011200
gpu,2,256,163840,uniform,V2_bx512,run49,49,0.010336
gpu,2,256,163840,uniform,V2_bx512,run50,50,0.010048
gpu,2,256,163840,uniform,V2_bx512,run51,51,0.009984
gpu,2,256,163840,uniform,V2_bx512,run52,52,0.009952
gpu,2,256,163840,uniform,V2_bx512,run53,53,0.010080
gpu,2,256,163840,uniform,V2_bx512,run54,54,0.010112
gpu,2,256,163840,uniform,V2_bx512,run55,55,0.010048
gpu,2,256,163840,uniform,V2_bx512,run56,56,0.010240
gpu,2,256,163840,uniform,V2_bx512,run57,57,0.009856
gpu,2,256,163840,uniform,V2_bx512,run58,58,0.009984
gpu,2,256,163840,uniform,V2_bx512,run59,59,0.011040
gpu,2,256,163840,uniform,V2_bx512,run60,60,0.010016
gpu,2,256,163840,uniform,V2_bx512,run61,61,0.010304
gpu,2,256,163840,uniform,V2_bx512,run62,62,0.010112
gpu,2,256,163840,uniform,V2_bx512,run63,63,0.010144
gpu,2,256,163840,uniform,V2_bx512,run64,64,0.010048
